kepid,kepoi_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_model_snr,koi_steff,koi_srad,ra,dec,koi_kepmag
7031340,K07804.01,FALSE POSITIVE,1,0,1,1,0.566769068,131.8681000,0.7730,3.01100,4.0000e+01,1.06,2661.0,14.90,5496.00,1.5330,291.057100,42.583359,14.447
4073730,K03785.01,FALSE POSITIVE,1,0,0,0,6.282042600,131.5890500,0.9890,7.94100,1.4130e+03,23.76,2021.0,103.30,6635.00,3.7980,295.615940,39.196709,11.059
2854948,K03786.01,FALSE POSITIVE,0,1,0,0,0.974303090,132.3902050,1.1690,2.10880,3.4976e+04,37.62,1643.0,224.00,5688.00,0.7860,291.984160,38.088371,15.783
7813039,K03787.01,CANDIDATE,0,0,0,0,141.734030590,167.3459820,0.9120,1.58510,7.7364e+03,10.30,329.0,157.40,5606.00,0.9180,288.439120,43.505249,13.891
3644601,K03862.02,FALSE POSITIVE,1,0,1,1,119.686505000,176.0608000,1.2210,29.33000,8.4270e+02,23.00,341.0,27.10,5715.00,0.8340,291.188660,38.751259,15.164
8459354,K03863.01,FALSE POSITIVE,1,0,0,0,53.556625000,184.4892000,0.8790,16.18000,3.9630e+03,26.31,1076.0,22.10,7643.00,3.6180,300.406770,44.414188,11.142
6531617,K07785.01,CANDIDATE,0,0,0,0,433.220461000,271.0427700,0.1780,2.72500,7.2510e+02,2.07,203.0,9.50,5232.00,0.7770,294.627140,41.933182,14.546
4164922,K03864.01,CONFIRMED,0,0,0,0,1.210693626,132.3930600,0.5970,1.43400,1.5910e+02,0.99,1351.0,41.60,5014.00,0.7560,293.344970,39.257809,12.914
12061969,K02061.02,CANDIDATE,0,0,0,0,1.090011003,131.5806600,0.5310,1.50000,1.7480e+02,1.04,1402.0,12.60,5081.00,0.7700,291.659520,50.583881,15.753
4164922,K03864.02,CANDIDATE,0,0,0,0,18.257272200,134.4452700,0.4120,3.43400,1.5750e+02,0.94,547.0,17.30,5014.00,0.7560,293.344970,39.257809,12.914
10328393,K01905.03,CONFIRMED,0,0,0,0,34.211502200,154.5750800,0.0340,4.94700,2.7380e+02,1.15,427.0,20.70,4955.00,0.7210,286.662960,47.413700,14.017
10259029,K03630.01,FALSE POSITIVE,0,1,0,0,7.061149921,134.5585280,0.9120,3.33515,1.3126e+05,43.71,842.0,631.50,5585.00,0.7980,284.674840,47.340809,17.115
8299947,K03631.01,FALSE POSITIVE,0,1,0,0,2.682767439,131.5706480,0.5090,4.58143,3.9441e+05,70.67,1310.0,508.40,5780.00,1.0000,291.886570,44.224564,17.743
3335813,K03632.01,FALSE POSITIVE,0,1,1,1,3.711012492,132.4884550,1.2720,3.33940,7.5598e+03,46.24,1310.0,257.40,6141.00,1.1170,289.697570,38.408852,13.789
11858741,K03633.01,FALSE POSITIVE,0,1,1,0,1.780982447,131.5201340,0.0020,3.42970,3.5770e+05,60.45,1502.0,324.00,5780.00,1.0000,288.760280,50.176834,16.485
6363494,K03634.01,FALSE POSITIVE,0,1,0,0,1.815632406,131.9113803,1.0400,3.35773,6.1574e+04,108.78,3429.0,1413.90,9954.00,2.4080,291.634950,41.765690,14.420
2576107,K03709.01,FALSE POSITIVE,0,1,0,0,205.583330900,234.7462560,1.2150,6.03530,2.4872e+04,42.69,323.0,216.10,6328.00,0.9150,291.523130,37.887642,15.247
9532421,K03710.01,FALSE POSITIVE,0,1,0,0,4.309067482,134.7144500,1.9930,2.21000,2.3647e+04,101.41,882.0,82.00,4897.00,0.7890,294.291930,46.161968,16.770
6936966,K07797.01,FALSE POSITIVE,0,0,1,1,36.472152300,159.7848000,0.7380,2.67300,5.2600e+01,0.70,527.0,7.70,5853.00,0.8950,287.945040,42.413551,11.894
5653849,K03711.01,FALSE POSITIVE,0,1,1,0,111.039620500,161.9350600,0.8510,25.75100,9.3562e+03,8.60,335.0,201.90,5470.00,0.7770,299.845980,40.845310,14.587
2437060,K03712.01,FALSE POSITIVE,0,1,0,0,3.187087241,132.8582000,0.6650,7.28970,1.2909e+05,928.96,4037.0,197.00,4599.00,23.6730,290.199520,37.776989,16.988
8127648,K03713.01,FALSE POSITIVE,0,1,0,0,1.023470248,131.7032740,1.4090,2.38040,1.2953e+05,100.39,1807.0,262.20,5780.00,1.0000,300.458830,43.936024,17.506
11564013,K03714.01,FALSE POSITIVE,0,1,0,0,0.875267982,132.0322400,1.2580,1.60380,1.1701e+04,39.19,1910.0,44.90,5821.00,0.8980,294.319120,49.532131,15.207
9405541,K03788.01,FALSE POSITIVE,0,1,0,0,5.552606950,132.0842800,1.1740,4.11780,7.2760e+02,2674.69,6436.0,60.70,3306.00,116.9650,292.439300,45.952358,9.687
8906045,K03789.01,FALSE POSITIVE,1,0,0,1,2.347479696,133.6720500,1.0510,26.25000,8.1996e+04,60.50,1502.0,261.10,5891.00,1.1380,298.283230,45.130939,14.177
7031638,K07805.01,FALSE POSITIVE,0,1,0,1,1.133530950,132.4414000,0.1170,3.17000,1.8500e+01,0.49,2006.0,11.10,6318.00,1.1210,291.158050,42.576279,13.145
7296094,K03790.01,FALSE POSITIVE,0,1,1,1,0.890745373,131.8844010,0.5990,1.92150,1.2003e+05,36.92,1892.0,239.60,5780.00,1.0000,295.788120,42.846355,18.590
5437945,K03791.01,CONFIRMED,0,0,0,0,440.784375500,139.3535000,0.4240,21.69300,2.5790e+03,7.23,308.0,181.00,6340.00,1.3930,288.474850,40.651360,13.771
12009347,K03792.01,FALSE POSITIVE,0,1,0,0,2.723858181,133.5763200,0.9130,1.43130,5.4970e+03,7.13,900.0,23.80,4416.00,0.7330,289.348630,50.482861,15.561
4037163,K03793.01,FALSE POSITIVE,1,0,0,0,0.635441862,131.9666070,0.8720,1.98270,1.4761e+05,56.30,2118.0,317.10,5780.00,1.0000,285.080140,39.183899,16.675
5535890,K03865.01,FALSE POSITIVE,0,1,1,0,3.255189932,134.6015000,0.4470,2.71170,1.1920e+02,1.39,1390.0,38.30,5807.00,1.2560,292.527340,40.745201,13.088
5215980,K03866.01,FALSE POSITIVE,0,1,1,1,2.531140101,132.4947100,1.2490,20.39900,1.1786e+04,32.12,1100.0,304.20,5325.00,0.7500,298.579380,40.365108,15.209
9353742,K03867.01,CONFIRMED,0,0,0,0,0.938750221,131.6825600,0.0130,1.35680,2.8070e+02,1.46,1676.0,47.40,5497.00,0.8860,296.054050,45.827049,14.860
9178185,K03868.01,FALSE POSITIVE,0,1,1,0,2.992704682,133.2951800,0.6470,1.25850,3.6110e+02,7.86,2328.0,39.90,5908.00,3.9150,299.553380,45.522049,13.957
6290382,K03869.01,FALSE POSITIVE,0,1,0,0,6.128107220,137.0345600,1.1590,2.82400,2.3360e+03,39.52,1513.0,17.50,7245.00,1.6670,293.519200,41.671791,13.186
3327992,K03635.01,FALSE POSITIVE,0,1,1,1,2.115511511,131.9913700,1.2780,8.51160,2.5805e+04,36.16,897.0,153.30,4188.00,0.6610,287.179350,38.433701,15.582
5649206,K03636.01,FALSE POSITIVE,0,1,0,0,2.446736567,133.9685340,0.4770,5.02010,4.1586e+05,71.52,1351.0,1037.30,5780.00,1.0000,298.958470,40.863552,17.991
5193384,K03637.01,FALSE POSITIVE,0,1,0,0,21.377953600,157.8164000,0.0000,24.87200,2.5524e+05,173.18,1062.0,101.90,4905.00,3.4840,293.659880,40.361942,19.065
5181804,K03638.01,FALSE POSITIVE,0,1,0,0,4.350460215,132.2723900,4.2030,2.52760,5.0424e+04,533.08,1472.0,247.20,6585.00,1.4160,290.228360,40.355389,15.929
10491544,K03639.01,FALSE POSITIVE,0,1,1,1,22.771945120,133.8426100,1.2630,10.19950,3.0246e+04,251.93,1254.0,208.60,5073.00,4.6100,298.911650,47.658298,13.436
9101496,K01915.02,CONFIRMED,0,0,0,0,67.844689000,149.5007000,0.3680,11.75700,2.1120e+02,2.65,592.0,18.90,5878.00,1.8120,296.064330,45.428619,13.996
11450414,K01992.02,CONFIRMED,0,0,0,0,27.321424200,154.2983300,0.9830,4.83600,2.7960e+02,3.61,705.0,14.90,5592.00,1.4510,289.199580,49.305721,14.513
4937143,K03715.01,FALSE POSITIVE,0,1,0,0,9.848839680,135.9930000,1.2500,5.74250,2.2012e+04,63.42,1134.0,236.60,6938.00,1.3100,295.338840,40.037289,16.350
11241814,K03717.01,FALSE POSITIVE,0,1,0,0,227.662522200,232.2419950,1.2500,5.50720,1.3895e+04,44.24,319.0,227.50,6124.00,1.0070,290.582890,48.960411,14.984
5036537,K03718.01,FALSE POSITIVE,0,1,1,1,1.061008730,132.5212760,0.8820,2.67150,6.3671e+03,9.14,1568.0,174.90,5080.00,0.9470,297.877930,40.104710,15.564
9837083,K03719.01,FALSE POSITIVE,0,1,0,0,0.623393802,131.5991280,1.1370,1.40392,3.0192e+04,28.21,1379.0,867.80,4330.00,0.6390,294.319430,46.619598,16.180
12557548,K03794.01,CONFIRMED,0,0,0,0,0.653553610,132.0589570,1.2260,1.63000,4.5959e+03,22.95,1437.0,217.40,4550.00,0.6600,290.966220,51.504719,15.692
3657758,K02034.02,CONFIRMED,0,0,0,0,2.370293200,133.6801000,0.0030,1.66600,2.2480e+02,1.29,1256.0,7.00,5668.00,0.8680,294.511260,38.790501,15.540
7031726,K07806.01,FALSE POSITIVE,0,1,0,1,0.566793534,131.8368000,0.0600,4.71400,9.2400e+01,122.64,14667.0,40.40,3420.00,138.0560,291.186860,42.591022,11.476
3338660,K03795.01,FALSE POSITIVE,0,1,0,0,1.873380717,131.7956340,0.2700,10.10830,5.3872e+05,89.79,1669.0,1513.70,5992.00,1.1710,290.474210,38.427368,14.807
3338674,K03796.01,FALSE POSITIVE,0,1,1,1,1.873378940,131.7963930,0.8830,9.13280,5.4440e+03,51.11,2925.0,223.10,4740.00,5.7210,290.477140,38.426910,12.708
